time,open,high,low,close,volume,timestamp
2017-12-01 00:00:00,1.95000000,2.02960000,1.88010000,2.02500000,120444.62000000,1512086400000
2017-12-01 12:00:00,2.02500000,2.13850000,1.98450000,2.05270000,201011.66000000,1512129600000
2017-12-02 00:00:00,2.05260000,2.11990000,2.00040000,2.08000000,178888.54000000,1512172800000
2017-12-02 12:00:00,2.08000000,2.08000000,1.97500000,2.07970000,62262.14000000,1512216000000
2017-12-03 00:00:00,2.07970000,2.18990000,2.04380000,2.18200000,114342.17000000,1512259200000
2017-12-03 12:00:00,2.17770000,2.40000000,2.13000000,2.26170000,231664.43000000,1512302400000
2017-12-04 00:00:00,2.26170000,2.58980000,2.26170000,2.41590000,242076.17000000,1512345600000
2017-12-04 12:00:00,2.42470000,2.55000000,2.32850000,2.55000000,142882.32000000,1512388800000
2017-12-05 00:00:00,2.53050000,2.75000000,2.50000000,2.53760000,310056.27000000,1512432000000
2017-12-05 12:00:00,2.55740000,2.67000000,2.51800000,2.61200000,118599.20000000,1512475200000
2017-12-06 00:00:00,2.60000000,2.80000000,2.50000000,2.56050000,217222.03000000,1512518400000
2017-12-06 12:00:00,2.56050000,2.62030000,2.32720000,2.51340000,162113.60000000,1512561600000
2017-12-07 00:00:00,2.53930000,2.80000000,2.40010000,2.77410000,334899.31000000,1512604800000
2017-12-07 12:00:00,2.73940000,2.84000000,2.44000000,2.66250000,198611.14000000,1512648000000
2017-12-08 00:00:00,2.64890000,2.66660000,2.20600000,2.44670000,395186.47000000,1512691200000
2017-12-08 12:00:00,2.44670000,2.80000000,2.28510000,2.79000000,254617.88000000,1512734400000
2017-12-09 00:00:00,2.78900000,2.81000000,2.44000000,2.49000000,207198.90000000,1512777600000
2017-12-09 12:00:00,2.51190000,2.65000000,2.17770000,2.65000000,270627.26000000,1512820800000
2017-12-10 00:00:00,2.65000000,2.66480000,2.13150000,2.34960000,271219.97000000,1512864000000
2017-12-10 12:00:00,2.34960000,2.63830000,2.30000000,2.46190000,291047.20000000,1512907200000
2017-12-11 00:00:00,2.46160000,2.78000000,2.45050000,2.71850000,243649.72000000,1512950400000
2017-12-11 12:00:00,2.68010000,2.74800000,2.62200000,2.68700000,137955.83000000,1512993600000
2017-12-12 00:00:00,2.68700000,2.73970000,2.57740000,2.71880000,221121.34000000,1513036800000
2017-12-12 12:00:00,2.71890000,2.71890000,2.45450000,2.55470000,320744.58000000,1513080000000
2017-12-13 00:00:00,2.55470000,2.69880000,2.26500000,2.59290000,418240.54000000,1513123200000
2017-12-13 12:00:00,2.62400000,2.74000000,2.48000000,2.71900000,283905.89000000,1513166400000
2017-12-14 00:00:00,2.71940000,3.00000000,2.69810000,2.96000000,624923.79000000,1513209600000
2017-12-14 12:00:00,2.96000000,3.15210000,2.71410000,3.15190000,373564.30000000,1513252800000
2017-12-15 00:00:00,3.15180000,3.50000000,2.99000000,3.35860000,371982.23000000,1513296000000
2017-12-15 12:00:00,3.31000000,4.39900000,3.29700000,4.12000000,547591.95000000,1513339200000
2017-12-16 00:00:00,4.16000000,4.56210000,3.81720000,4.52000000,419324.68000000,1513382400000
2017-12-16 12:00:00,4.51900000,4.72010000,4.15000000,4.63780000,356282.11000000,1513425600000
2017-12-17 00:00:00,4.63000000,6.53000000,4.59600000,6.50000000,806818.61000000,1513468800000
2017-12-17 12:00:00,6.50000000,6.70000000,5.50000000,5.99900000,748843.43000000,1513512000000
2017-12-18 00:00:00,5.99900000,6.10000000,4.75000000,5.72090000,930062.61000000,1513555200000
2017-12-18 12:00:00,5.72080000,6.00000000,5.08700000,6.00000000,500108.46000000,1513598400000
2017-12-19 00:00:00,5.98000000,6.46300000,5.40000000,6.15000000,1044496.78000000,1513641600000
2017-12-19 12:00:00,6.15000000,6.20000000,5.27250000,5.69990000,740373.75000000,1513684800000
2017-12-20 00:00:00,5.69000000,5.70000000,4.68000000,5.47000000,1057169.47000000,1513728000000
2017-12-20 12:00:00,5.49000000,5.65000000,4.80210000,5.15020000,340132.58000000,1513771200000
2017-12-21 00:00:00,5.18190000,5.68990000,5.13000000,5.35600000,299920.32000000,1513814400000
2017-12-21 12:00:00,5.35600000,5.44970000,4.42000000,5.15960000,696628.44000000,1513857600000
2017-12-22 00:00:00,5.15960000,5.19960000,3.80000000,4.33810000,868277.15000000,1513900800000
2017-12-22 12:00:00,4.33730000,4.74990000,3.25000000,4.29120000,731194.51000000,1513944000000
2017-12-23 00:00:00,4.29120000,4.79900000,4.17000000,4.79900000,520810.97000000,1513987200000
2017-12-23 12:00:00,4.79900000,4.99800000,4.39990000,4.40000000,443689.65000000,1514030400000
2017-12-24 00:00:00,4.40000000,4.56770000,3.80000000,4.42010000,602775.53000000,1514073600000
2017-12-24 12:00:00,4.45680000,5.20000000,4.22510000,5.18100000,444331.42000000,1514116800000
2017-12-25 00:00:00,5.18990000,6.29000000,5.02900000,5.86500000,690868.54000000,1514160000000
2017-12-25 12:00:00,5.90940000,6.88000000,5.80540000,6.46310000,790013.06000000,1514203200000
2017-12-26 00:00:00,6.46310000,7.67010000,6.35000000,7.43620000,996840.49000000,1514246400000
2017-12-26 12:00:00,7.45180000,10.79300000,7.31010000,9.25400000,2084820.23000000,1514289600000
2017-12-27 00:00:00,9.28610000,11.30000000,8.56010000,10.22670000,1621248.31000000,1514332800000
2017-12-27 12:00:00,10.22500000,10.52980000,8.26050000,10.07310000,1229824.91000000,1514376000000
2017-12-28 00:00:00,10.07000000,10.25000000,7.80000000,8.14010000,1697793.81000000,1514419200000
2017-12-28 12:00:00,8.14020000,9.32850000,7.93800000,9.25000000,895442.66000000,1514462400000
2017-12-29 00:00:00,9.28000000,9.80200000,8.39000000,8.63200000,843076.15000000,1514505600000
2017-12-29 12:00:00,8.63400000,9.36510000,8.40000000,8.70940000,558489.18000000,1514548800000
2017-12-30 00:00:00,8.68080000,8.70940000,7.59010000,7.81160000,839883.59000000,1514592000000
2017-12-30 12:00:00,7.81100000,7.89000000,6.93010000,7.59470000,808421.42000000,1514635200000
2017-12-31 00:00:00,7.57830000,8.70000000,7.51750000,8.20450000,693884.45000000,1514678400000
2017-12-31 12:00:00,8.20450000,8.79800000,8.02660000,8.53000000,595329.70000000,1514721600000
2018-01-01 00:00:00,8.54780000,8.70000000,8.07030000,8.15990000,350254.55000000,1514764800000
2018-01-01 12:00:00,8.18000000,8.45000000,7.80000000,8.45000000,304084.29000000,1514808000000
