time,open,high,low,close,volume,timestamp
2020-08-11 00:00:00,2.85000000,3.47000000,2.84330000,3.04970000,151914.09000000,1597104000000
2020-08-11 12:00:00,3.04970000,3.52080000,2.86250000,3.29850000,1400470.69000000,1597147200000
2020-08-12 00:00:00,3.29850000,3.92890000,3.08000000,3.68420000,1209918.28000000,1597190400000
2020-08-12 12:00:00,3.67330000,3.90000000,3.60000000,3.75580000,527124.67000000,1597233600000
2020-08-13 00:00:00,3.75000000,4.13870000,3.50030000,3.87000000,1069324.61000000,1597276800000
2020-08-13 12:00:00,3.87000000,4.05550000,3.53850000,3.73000000,616434.63000000,1597320000000
2020-08-14 00:00:00,3.72070000,3.76760000,3.42670000,3.71730000,785009.66000000,1597363200000
2020-08-14 12:00:00,3.70360000,3.71330000,3.32100000,3.40990000,689152.13000000,1597406400000
2020-08-15 00:00:00,3.41810000,3.74000000,3.16300000,3.45000000,782876.01000000,1597449600000
2020-08-15 12:00:00,3.45270000,3.48520000,3.15000000,3.17300000,287357.19000000,1597492800000
2020-08-16 00:00:00,3.17300000,3.49070000,3.12000000,3.41930000,478096.80000000,1597536000000
2020-08-16 12:00:00,3.41930000,3.47260000,3.34000000,3.38850000,190009.73000000,1597579200000
2020-08-17 00:00:00,3.38850000,3.39520000,3.20000000,3.28910000,361359.58000000,1597622400000
2020-08-17 12:00:00,3.28910000,3.29340000,3.10000000,3.11000000,368054.06000000,1597665600000
2020-08-18 00:00:00,3.11000000,3.25000000,2.87800000,3.06720000,769476.98000000,1597708800000
2020-08-18 12:00:00,3.05010000,3.70920000,2.81050000,3.34070000,1943638.96000000,1597752000000
2020-08-19 00:00:00,3.33400000,3.49000000,2.80000000,3.01000000,883814.69000000,1597795200000
2020-08-19 12:00:00,3.01000000,3.13070000,2.82000000,2.88680000,549429.07000000,1597838400000
2020-08-20 00:00:00,2.89620000,3.18980000,2.88710000,3.15080000,457463.61000000,1597881600000
2020-08-20 12:00:00,3.15100000,3.44500000,3.10900000,3.20380000,820363.71000000,1597924800000
2020-08-21 00:00:00,3.20380000,3.24000000,3.00000000,3.09180000,647127.51000000,1597968000000
2020-08-21 12:00:00,3.09180000,3.16360000,2.89000000,2.93170000,484768.39000000,1598011200000
2020-08-22 00:00:00,2.92130000,2.93860000,2.74310000,2.85990000,594906.21000000,1598054400000
2020-08-22 12:00:00,2.85990000,3.20000000,2.85860000,3.01260000,574511.57000000,1598097600000
2020-08-23 00:00:00,3.02240000,3.28570000,3.00140000,3.03400000,480957.17000000,1598140800000
2020-08-23 12:00:00,3.03400000,3.40000000,3.00730000,3.25000000,717079.52000000,1598184000000
2020-08-24 00:00:00,3.26580000,3.62000000,3.21440000,3.46320000,747001.04000000,1598227200000
2020-08-24 12:00:00,3.47070000,3.57270000,3.21000000,3.34050000,568195.02000000,1598270400000
2020-08-25 00:00:00,3.34060000,3.36540000,3.06010000,3.18000000,538772.92000000,1598313600000
2020-08-25 12:00:00,3.18000000,3.28540000,3.00010000,3.25000000,610414.45000000,1598356800000
2020-08-26 00:00:00,3.25760000,3.61400000,3.18090000,3.60500000,1105073.79000000,1598400000000
2020-08-26 12:00:00,3.60500000,3.79990000,3.40970000,3.56840000,1184956.77000000,1598443200000
2020-08-27 00:00:00,3.55570000,3.85750000,3.30000000,3.40780000,1334923.25000000,1598486400000
2020-08-27 12:00:00,3.40780000,3.80000000,3.24340000,3.45010000,1078051.55000000,1598529600000
2020-08-28 00:00:00,3.45030000,3.95000000,3.45030000,3.94790000,1087248.38000000,1598572800000
2020-08-28 12:00:00,3.94440000,4.30910000,3.81280000,4.00630000,1494688.46000000,1598616000000
2020-08-29 00:00:00,4.00700000,4.11210000,3.77480000,3.89890000,730355.26000000,1598659200000
2020-08-29 12:00:00,3.89890000,4.11190000,3.86630000,3.95350000,612488.94000000,1598702400000
2020-08-30 00:00:00,3.95310000,4.58480000,3.90000000,4.55850000,1035193.97000000,1598745600000
2020-08-30 12:00:00,4.55000000,4.71170000,4.35200000,4.43090000,780488.02000000,1598788800000
2020-08-31 00:00:00,4.41270000,4.55100000,4.10000000,4.27680000,582825.29000000,1598832000000
2020-08-31 12:00:00,4.27080000,4.88650000,4.14390000,4.74350000,914303.83000000,1598875200000
2020-09-01 00:00:00,4.74320000,4.94750000,4.50000000,4.52250000,820009.45000000,1598918400000
2020-09-01 12:00:00,4.51080000,4.62750000,4.30000000,4.33970000,447565.31000000,1598961600000
2020-09-02 00:00:00,4.32130000,4.35060000,3.66000000,4.07170000,1268822.78000000,1599004800000
2020-09-02 12:00:00,4.08550000,4.19500000,3.85530000,4.17000000,733235.58000000,1599048000000
2020-09-03 00:00:00,4.17000000,4.45900000,3.86860000,4.11810000,1361099.05000000,1599091200000
2020-09-03 12:00:00,4.10830000,4.13320000,3.47720000,3.50510000,1914513.21000000,1599134400000
2020-09-04 00:00:00,3.50620000,3.83460000,3.47340000,3.57270000,1180650.99000000,1599177600000
2020-09-04 12:00:00,3.57040000,3.70000000,3.17390000,3.53010000,871546.25000000,1599220800000
2020-09-05 00:00:00,3.53010000,3.66370000,2.09260000,2.47840000,2363478.47000000,1599264000000
2020-09-05 12:00:00,2.48260000,2.83200000,2.24660000,2.60520000,2062788.91000000,1599307200000
